[2026-06-28 14:19:26] [::1] [User: admin] [LOGIN] User logged in successfully.
[2026-06-28 14:19:27] [::1] [User: admin] [READ] Read file content: DSC04551.jpg
[2026-06-28 14:19:27] [::1] [User: admin] [READ] Read file content: DSC04696.jpg
[2026-06-28 14:19:41] [::1] [User: admin] [READ] Read file content: DSC04503.jpg
[2026-06-28 14:20:07] [::1] [User: admin] [READ] Read file content: DSC04564.jpg
[2026-06-28 14:20:27] [::1] [User: admin] [READ] Read file content: annual-2024.csv
[2026-06-28 14:38:45] [::1] [User: admin] [READ] Read file content: DSC04564.jpg
[2026-06-28 14:39:07] [::1] [User: admin] [READ] Read file content: annual-2024.csv
[2026-06-28 14:47:11] [::1] [User: admin] [READ] Read file content: DSC04564.jpg
[2026-06-28 14:47:20] [::1] [User: admin] [READ] Read file content: annual-2024.csv
[2026-06-28 14:50:53] [::1] [User: admin] [READ] Read file content: DSC04564.jpg
[2026-06-28 14:51:06] [::1] [User: admin] [READ] Read file content: annual-2024.csv
[2026-06-28 14:54:03] [::1] [User: admin] [READ] Read file content: DSC04564.jpg
[2026-06-28 14:54:12] [::1] [User: admin] [READ] Read file content: annual-2024.csv
[2026-06-28 14:55:36] [::1] [User: admin] [READ] Read file content: DSC04564.jpg
[2026-06-28 14:55:49] [::1] [User: admin] [READ] Read file content: avatar/avatar.png
[2026-06-28 14:55:52] [::1] [User: admin] [READ] Read file content: annual-2024.csv
[2026-06-28 14:55:58] [::1] [User: admin] [READ] Read file content: DSC04503.jpg
